Customer id,Survey filled on,Food Preference,Exercise preference,Home Quarantine,Covid-19 positive,Mental stress level,Financal issue,Vistited outside home,Donated money,Game played,Allowed Visitors,Tried different food
DH001,4/28/2022,Non-veg,yoga,yes,No,40% to 60%,no,once in a week,no,Ludo,no,yes
DH002,4/29/2022,Non-veg,dance,yes,No,20% to 40%,not sure,twice in week,yes,Ludo,no,yes
DH003,4/30/2022,Non-veg,yoga,yes,No,60 % to 80%,yes,preferred online order,no,Ludo,not sure,yes
DH004,5/1/2022,veg,all above,yes,No,60 % to 80%,no,twice in week,yes,Ludo,yes,no
DH005,5/2/2022,veg,yoga,No,No,20% to 40%,yes,twice in week,yes,Ludo,no,yes
DH006,5/3/2022,non of above,dance,not sure,No,40% to 60%,yes,twice in week,yes,Ludo,no,yes
DH007,5/4/2022,Non-veg,all above,yes,No,80% to 100%,yes,twice in week,yes,Ludo,no,yes
DH008,5/5/2022,Non-veg,all above,No,No,20% to 40%,yes,once in a week,yes,Ludo,no,yes
DH009,5/6/2022,Non-veg,yoga,yes,No,40% to 60%,yes,preferred online order,no,Ludo,no,yes
DH010,5/7/2022,veg,heavy weight,yes,No,40% to 60%,not sure,twice in week,no,cards,no,no
DH011,5/8/2022,Non-veg,heavy weight,yes,yes,60 % to 80%,no,twice in week,yes,carrom boards,yes,yes
DH012,5/9/2022,veg,yoga,yes,No,60 % to 80%,yes,preferred online order,yes,cards,no,yes
DH013,5/10/2022,veg,all above,not sure,No,80% to 100%,not sure,twice in week,yes,Ludo,no,yes
DH014,5/11/2022,Non-veg,yoga,not sure,not sure,20% to 40%,no,twice in week,yes,Ludo,no,yes
DH015,5/12/2022,Non-veg,all above,No,No,40% to 60%,not sure,once in a week,yes,Ludo,no,yes
DH016,5/13/2022,veg,yoga,yes,yes,60 % to 80%,no,twice in week,yes,cards,yes,yes
DH017,5/14/2022,veg,all above,not sure,No,20% to 40%,no,twice in week,yes,Ludo,no,yes
DH018,5/15/2022,Non-veg,heavy weight,No,No,20% to 40%,no,twice in week,no,Ludo,no,yes
